id,siCardNumber,twentyFourHour,weekDay,fourWeekCounter,twelveHourTimer,subSecond,origFromNode,radioMessageId,createdDate
3241,146,1,1,0,36000,0,1,2257,"2016-03-06 21:25:15.331438"
3479,146,1,1,0,36000,0,1,2376,"2016-03-06 21:32:07.485784"
3730,146,1,1,0,36000,0,1,2501,"2016-03-06 21:39:11.757286"
3962,146,1,1,0,36000,0,1,2617,"2016-03-06 21:45:59.273355"
4213,146,1,1,0,36000,0,1,2743,"2016-03-06 21:53:02.744173"
4464,146,1,1,0,36000,0,1,2868,"2016-03-06 22:00:06.696695"
4679,146,1,1,0,36000,0,1,2976,"2016-03-06 22:06:38.948890"
2804,147,1,1,0,36000,0,1,2038,"2016-03-06 21:12:12.633422"
3244,147,1,1,0,36000,0,1,2258,"2016-03-06 21:25:18.664317"
3482,147,1,1,0,36000,0,1,2377,"2016-03-06 21:32:11.640183"
3729,147,1,1,0,36000,0,1,2501,"2016-03-06 21:39:11.734737"
3961,147,1,1,0,36000,0,1,2617,"2016-03-06 21:45:59.253008"
4216,147,1,1,0,36000,0,1,2744,"2016-03-06 21:53:06.136969"
4463,147,1,1,0,36000,0,1,2868,"2016-03-06 22:00:06.674902"
4674,147,1,1,0,36000,0,1,2973,"2016-03-06 22:06:28.988771"
4810,147,1,1,0,36000,0,1,3041,"2016-03-06 22:10:16.051220"
4906,147,1,1,0,36000,0,1,3089,"2016-03-06 22:12:56.380251"
2598,148,1,1,0,36000,0,1,1935,"2016-03-06 21:06:00.776463"
2803,148,1,1,0,36000,0,1,2038,"2016-03-06 21:12:12.609831"
3014,148,1,1,0,36000,0,1,2143,"2016-03-06 21:18:34.395648"
3243,148,1,1,0,36000,0,1,2258,"2016-03-06 21:25:18.642410"
3481,148,1,1,0,36000,0,1,2377,"2016-03-06 21:32:11.618531"
3964,148,1,1,0,36000,0,1,2618,"2016-03-06 21:46:02.626869"
4215,148,1,1,0,36000,0,1,2744,"2016-03-06 21:53:06.114080"
4466,148,1,1,0,36000,0,1,2869,"2016-03-06 22:00:09.981407"
4673,148,1,1,0,36000,0,1,2973,"2016-03-06 22:06:28.967229"
4759,148,1,1,0,36000,0,1,3016,"2016-03-06 22:08:52.512516"
2597,149,1,1,0,36000,0,1,1935,"2016-03-06 21:06:00.754558"
3013,149,1,1,0,36000,0,1,2143,"2016-03-06 21:18:34.374906"
3246,149,1,1,0,36000,0,1,2259,"2016-03-06 21:25:21.993876"
3732,149,1,1,0,36000,0,1,2502,"2016-03-06 21:39:15.097687"
3963,149,1,1,0,36000,0,1,2618,"2016-03-06 21:46:02.604277"
4218,149,1,1,0,36000,0,1,2745,"2016-03-06 21:53:09.408217"
4465,149,1,1,0,36000,0,1,2869,"2016-03-06 22:00:09.960918"
4678,149,1,1,0,36000,0,1,2975,"2016-03-06 22:06:35.583554"
4766,149,1,1,0,36000,0,1,3019,"2016-03-06 22:09:02.540741"
4856,149,1,1,0,36000,0,1,3064,"2016-03-06 22:11:32.885147"
2600,150,1,1,0,36000,0,1,1936,"2016-03-06 21:06:04.658203"
2806,150,1,1,0,36000,0,1,2039,"2016-03-06 21:12:15.961557"
3016,150,1,1,0,36000,0,1,2144,"2016-03-06 21:18:38.492353"
